rank,Tweet
0.0006644063297367362,My wedding is in two weeks and I'm actually really nervous I just want things to go right I don't want to get sick or get canceled 
0.0006631907648488679, this is so absurd I could laugh right now if I also didn't feel like crying for the future of our country  wakeupcall
0.0006608660856607147,It's amazing how something gets stuck in your head and you can't shake a memory  Sometimes I miss people a lot  Wish they knew
0.0006605710550494237, this is so absurd I could laugh right now if I also didn't feel like crying for the future of our country despair wakeupcall
0.0006578792671070667,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no Did he get stopped by the police ' sad ourworld
0.0006576342477103603, though lately with how bad my depression has been i feel like my body is like just taking what little it can get
0.0006568482026635732,If you love something let it go If it comes back it is yours If it doesn't it never will sadness accepting
0.0006561979200145698,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no Did he get stopped by the police '  ourworld
0.0006554146001913191,People are hurt and angry and it's hard to know what to do with that anger Remember at the end of the day we're all humans bekind
0.0006545501996994219,When you burst out crying alone and u realize that no one truly knows how unhappy you really are because you don't want anyone to know
0.0006531909454016691,When your friends want to go out drinking but you know you gonna have to say no because social anxiety runs your life
0.0006528019887631238,I feel like a burden every day that I waste but I don't know how to get out of this bc I get so discouraged all I wanna do is lay around   _emoj_upside_down_face_
0.0006523350163759078,Some questions you get on Twitter make you want to despair We've been so battered We complain but aren't convinced things could be better
0.0006515822331643958,im like 'this is better' in the moment cuz i panic and then later its so obviously not better at every opportunity i choose to make it seem
0.0006511542555443479, I was pretty sure it was a Golden Ticket Get a tour Make a mistake Something horrific will happen to you Good day sir
0.0006503651610570649,Im kind of confused  The one thing i do right now has a great future but on the other hand so does the new thing  lost needhelp
0.0006503358396012432,I really really resent having to go to bed at a sensible hour you guys I WANT TO TALK TO MY PEOPLE
0.0006498376540850856,When you want to say something so bad but can't  furious   _emoj_triumph_ 
0.0006498248102153871,I can not depict what I feel right now I feel jubilant yet anxious ordunno It seems like now I'm having something worth wait everyday
0.000649559041793183,Just wish I was appreciated for all I do When is it my turn to be taken care of I want a break tired lost
0.0006495287953616548,On my life I'll never understand why anyone would pay money to see  terrible
0.0006493811876278669,I wish I could live in y'all reality where i can grieve over people i never met To bad i got BROTHERS dying left and right 
0.0006489420059478512,A smile doesn't always mean a person is happy  Sometimes it simply means they are strong enough to face their own problems 
0.0006481058142862369,Idk why but this Time around its so hard that it hurts I already miss them all so much silly family friends nervous
0.0006477676402162097,Came in to work today hours late1st thing I hear 'Ma'amthe big boss has been waiting for you in his office' panic hateBeingLate   _emoj_weary_   _emoj_sleepy_ 
0.000647396701353501,I can see how this will end In all its bitter tragedy I'll give you all I have to spend And you'll give nothing back to me
0.0006468132426790937, I'm sorry about your loss no one should ever give you shit for taking your time to mourn No matter how long it takes
0.0006465650968100645,Focus on yourself Don't let other's love define you when you're happy and don't let it make you bitter if you get hurt
0.0006464546216867098,My leg feels like it's gonna burst yet I'm still expected to go into work
0.0006452450393023243, They ain't going away and I don't want to see them hurt changing heartsminds is really our only option no 
0.000645237642357448,Just wish I was appreciated for all I do When is it my turn to be taken care of I want a break tired 
0.0006451028308822984,Idk why but this Time around its so hard that it hurts I already miss them all so much silly family friends 
0.0006450566393263083,Think Val might be going this week I'll have to take the rest of the week off work to mourn I'm sure they'll understand GBBO
0.0006447342758095813,The feeling of taking someone's life is either scarring or exhilarating but for people need to realize that we're going to die at some
0.0006446152320032068,me myself and I   horror movie alone again tonight maybe a zombie would eat me and finish my life game already  i want gameover
0.0006442411373358241,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison 
0.0006441873748973653,I feel ghastly and I'm really hoping it's just a postbirthday slump Back to full research mode tomorrow either way
0.0006440778498582528,  I'd rather see KYLE from bbcan play again and THAT is saying something awful
0.0006432870544796512,the thing with Twitter is i only remember to tweet when i'm bored or alone and then it comes across like i have a really dull and sad life  _emoj_alien_ 
0.0006432066697802934,That feeling you get when you know the information but scared you might do bad on a test collegelife nervous   _emoj_disappointed_relieved_   _emoj_disappointed_relieved_ 
0.0006426712130482004,I sit at home so damn much that everything is starting to irritate me  I need to get out the house by myself 
0.0006425647563081999,a good shorty has so much to offer amp it's sad that some of you niggas don't even see it when she right in front of your face and too late
0.0006418893283560642, People will always get offended everyone's situation is different Just because we have kids doesn't mean we have to settle
0.0006417971909538372,Side chick's be trying to fuck u like your going to forget about your wife when your done terrible
0.0006415374387413587,The Sorrow is grim reminder of how bad I can be at video games and how I could get a bit too trigger happy at times RIP MGS3
0.000641454073563526,Do you know how much it hurts to see you best friend sad
0.0006413635826360444,There's always that one song which makes you turn of the radio as you'd rather sit in silence   _emoj_rage_  awful
0.000640465849544103,I'm way too busy and tired all the time to worry about my past and the things I should be regretting but I never am
0.0006396682208472848, I didn't say anything bad about the situation great mate can't believe some were Makes me despair of humanity
0.0006389635044834161,Haven't gotten one hour of sleep Today is going to be a fun day   _emoj_neutral_face_  
0.0006385010276770544,It breaks my heart seeing people down or upset I will try my best to make them smile or cheer them up   _emoj_hugging_face_
0.0006380714771824634,Haven't gotten one hour of sleep Today is going to be a fun day   _emoj_neutral_face_  restless
0.000637765881426941,I believe the work I do is meaningful my clients would agree but at the end of the day I feel like a pawn lost in this chaotic world
0.0006372657340420621, I so wish you could someday come to Spain with the play I can't believe I'm not going to see it sad
0.0006371299286573558, hard to tell in your pic My mistake then Either way nothing I said initially was about race U took it there sad ignorant
0.0006369677678259326,On my life I'll never understand why anyone would pay money to see  
0.0006357337733776988, that's a good question I really don't know I am slowly losing my optimism
0.0006355141672714119,it's sad when you talk to someone about ya past n how it fucked you up and then they do the same thing like people really don't have hearts
0.0006353483092381425, Post series depression can be quite bad but it will get better I bet someone will pick the novel soon in the west
